month,channel,base_spend,seasonality_factor,spend
2022-01-01,Paid Search,50000,1.0,49005.61360343629
2022-01-01,Paid Social,30000,1.0,28475.512910149504
2022-01-01,Content/SEO,15000,1.0,14694.7534665224
2022-01-01,Referral,5000,1.0,5362.726652934839
2022-01-01,Partnership,10000,1.0,10036.662146770923
2022-02-01,Paid Search,50000,1.0,51839.03249451331
2022-02-01,Paid Social,30000,1.0,29973.381330000506
2022-02-01,Content/SEO,15000,1.0,14860.475956010525
2022-02-01,Referral,5000,1.0,4851.879965469325
2022-02-01,Partnership,10000,1.0,10055.653712880305
2022-03-01,Paid Search,50000,1.1,52981.48758426321
2022-03-01,Paid Social,30000,1.1,31107.203577492633
2022-03-01,Content/SEO,15000,1.1,16202.972766917002
2022-03-01,Referral,5000,1.1,5246.806883780252
2022-03-01,Partnership,10000,1.1,11076.603101032168
2022-04-01,Paid Search,50000,1.0,46061.265206938704
2022-04-01,Paid Social,30000,1.0,32874.75804054945
2022-04-01,Content/SEO,15000,1.0,16201.613107297522
2022-04-01,Referral,5000,1.0,4461.571383197808
2022-04-01,Partnership,10000,1.0,9352.979733799843
2022-05-01,Paid Search,50000,1.0,46656.8851041011
2022-05-01,Paid Social,30000,1.0,31060.03089333313
2022-05-01,Content/SEO,15000,1.0,15489.220543433843
2022-05-01,Referral,5000,1.0,4811.457136850692
2022-05-01,Partnership,10000,1.0,9685.078822167288
2022-06-01,Paid Search,50000,0.9,43336.18779476886
2022-06-01,Paid Social,30000,0.9,26894.59496494775
2022-06-01,Content/SEO,15000,0.9,12634.232167867696
2022-06-01,Referral,5000,0.9,4408.096010030221
2022-06-01,Partnership,10000,0.9,8517.76092858918
2022-07-01,Paid Search,50000,0.9,45696.309729701075
2022-07-01,Paid Social,30000,0.9,26464.562417058652
2022-07-01,Content/SEO,15000,0.9,13452.813254431027
2022-07-01,Referral,5000,0.9,4701.183237722198
2022-07-01,Partnership,10000,0.9,8746.763143199696
2022-08-01,Paid Search,50000,0.9,46841.8197871419
2022-08-01,Paid Social,30000,0.9,27489.893543016733
2022-08-01,Content/SEO,15000,0.9,13285.798179827696
2022-08-01,Referral,5000,0.9,4339.817280495587
2022-08-01,Partnership,10000,0.9,8707.260196497178
2022-09-01,Paid Search,50000,1.0,50520.57431743813
2022-09-01,Paid Social,30000,1.0,30543.357622276177
2022-09-01,Content/SEO,15000,1.0,14679.176919259162
2022-09-01,Referral,5000,1.0,5112.312254129183
2022-09-01,Partnership,10000,1.0,10935.65642942614
2022-10-01,Paid Search,50000,1.2,59067.09448348374
2022-10-01,Paid Social,30000,1.2,35735.552027846745
2022-10-01,Content/SEO,15000,1.2,16589.765134746398
2022-10-01,Referral,5000,1.2,6017.262134571849
2022-10-01,Partnership,10000,1.2,12673.59930261052
2022-11-01,Paid Search,50000,1.3,71909.2491015225
2022-11-01,Paid Social,30000,1.3,41566.70246901235
2022-11-01,Content/SEO,15000,1.3,20047.599156814922
2022-11-01,Referral,5000,1.3,6360.496879806912
2022-11-01,Partnership,10000,1.3,12694.7555710894
2022-12-01,Paid Search,50000,1.5,70639.89473888068
2022-12-01,Paid Social,30000,1.5,44122.85991345958
2022-12-01,Content/SEO,15000,1.5,23246.39429980863
2022-12-01,Referral,5000,1.5,8704.255535206972
2022-12-01,Partnership,10000,1.5,14549.353059805127
2023-01-01,Paid Search,50000,1.0,49112.396532796985
2023-01-01,Paid Social,30000,1.0,27374.39081148535
2023-01-01,Content/SEO,15000,1.0,15438.619825787964
2023-01-01,Referral,5000,1.0,4565.2421051513
2023-01-01,Partnership,10000,1.0,11116.627521724737
2023-02-01,Paid Search,50000,1.0,53298.05093272992
2023-02-01,Paid Social,30000,1.0,30127.047864135013
2023-02-01,Content/SEO,15000,1.0,15802.423958150743
2023-02-01,Referral,5000,1.0,5010.730355234741
2023-02-01,Partnership,10000,1.0,9894.723984178005
2023-03-01,Paid Search,50000,1.1,51687.497192507275
2023-03-01,Paid Social,30000,1.1,31289.675608861267
2023-03-01,Content/SEO,15000,1.1,17088.353871482643
2023-03-01,Referral,5000,1.1,5383.632321181452
2023-03-01,Partnership,10000,1.1,10739.670718403606
2023-04-01,Paid Search,50000,1.0,49223.131729113775
2023-04-01,Paid Social,30000,1.0,29838.674412289784
2023-04-01,Content/SEO,15000,1.0,15087.03273396572
2023-04-01,Referral,5000,1.0,5041.156994884712
2023-04-01,Partnership,10000,1.0,9864.662932888063
2023-05-01,Paid Search,50000,1.0,49554.98413781793
2023-05-01,Paid Social,30000,1.0,31292.842494116885
2023-05-01,Content/SEO,15000,1.0,13931.4852249326
2023-05-01,Referral,5000,1.0,4869.907475345416
2023-05-01,Partnership,10000,1.0,8675.043120324266
2023-06-01,Paid Search,50000,0.9,43077.82628450019
2023-06-01,Paid Social,30000,0.9,24959.65647891721
2023-06-01,Content/SEO,15000,0.9,13378.51174703344
2023-06-01,Referral,5000,0.9,4512.398775325733
2023-06-01,Partnership,10000,0.9,8677.114866671744
2023-07-01,Paid Search,50000,0.9,41168.79014086333
2023-07-01,Paid Social,30000,0.9,27981.030400945947
2023-07-01,Content/SEO,15000,0.9,13484.761771588179
2023-07-01,Referral,5000,0.9,4639.659551473333
2023-07-01,Partnership,10000,0.9,8624.783487207582
2023-08-01,Paid Search,50000,0.9,44341.60660547025
2023-08-01,Paid Social,30000,0.9,26261.4002956634
2023-08-01,Content/SEO,15000,0.9,13748.712873156072
2023-08-01,Referral,5000,0.9,4506.73410827464
2023-08-01,Partnership,10000,0.9,8855.773230806708
2023-09-01,Paid Search,50000,1.0,45559.59485067026
2023-09-01,Paid Social,30000,1.0,29458.418964275133
2023-09-01,Content/SEO,15000,1.0,15230.508078805366
2023-09-01,Referral,5000,1.0,4900.568188655994
2023-09-01,Partnership,10000,1.0,10428.507098161677
2023-10-01,Paid Search,50000,1.2,60605.711547152176
2023-10-01,Paid Social,30000,1.2,33002.892635715034
2023-10-01,Content/SEO,15000,1.2,16905.660952639475
2023-10-01,Referral,5000,1.2,5807.0050519827555
2023-10-01,Partnership,10000,1.2,11784.042564350464
2023-11-01,Paid Search,50000,1.3,66087.54663294782
2023-11-01,Paid Social,30000,1.3,39885.6732613366
2023-11-01,Content/SEO,15000,1.3,19808.57132323416
2023-11-01,Referral,5000,1.3,6988.186289584161
2023-11-01,Partnership,10000,1.3,12258.528997243668
2023-12-01,Paid Search,50000,1.5,69788.11534532519
2023-12-01,Paid Social,30000,1.5,47525.186835412766
2023-12-01,Content/SEO,15000,1.5,22333.94977293363
2023-12-01,Referral,5000,1.5,8047.219563793083
2023-12-01,Partnership,10000,1.5,15230.365150208541
2024-01-01,Paid Search,50000,1.0,51981.34800453854
2024-01-01,Paid Social,30000,1.0,27193.654596682445
2024-01-01,Content/SEO,15000,1.0,15641.283284796044
2024-01-01,Referral,5000,1.0,5158.942904159046
2024-01-01,Partnership,10000,1.0,10341.699246821627
2024-02-01,Paid Search,50000,1.0,44145.826130300615
2024-02-01,Paid Social,30000,1.0,30703.578333690184
2024-02-01,Content/SEO,15000,1.0,15440.171980451762
2024-02-01,Referral,5000,1.0,4992.047555001268
2024-02-01,Partnership,10000,1.0,9973.833417647398
2024-03-01,Paid Search,50000,1.1,58215.01160899627
2024-03-01,Paid Social,30000,1.1,31206.584253074598
2024-03-01,Content/SEO,15000,1.1,16214.133923829308
2024-03-01,Referral,5000,1.1,5612.706438784705
2024-03-01,Partnership,10000,1.1,10704.485946673505
2024-04-01,Paid Search,50000,1.0,47818.24114350888
2024-04-01,Paid Social,30000,1.0,29782.13987205181
2024-04-01,Content/SEO,15000,1.0,14146.879001983194
2024-04-01,Referral,5000,1.0,5157.177304454597
2024-04-01,Partnership,10000,1.0,10459.291724697048
2024-05-01,Paid Search,50000,1.0,46991.093134072544
2024-05-01,Paid Social,30000,1.0,29431.167198400835
2024-05-01,Content/SEO,15000,1.0,14810.567742548152
2024-05-01,Referral,5000,1.0,5237.202893746078
2024-05-01,Partnership,10000,1.0,9655.134580247788
2024-06-01,Paid Search,50000,0.9,42613.51116624378
2024-06-01,Paid Social,30000,0.9,28204.672274074466
2024-06-01,Content/SEO,15000,0.9,13632.68004605473
2024-06-01,Referral,5000,0.9,4726.652870622755
2024-06-01,Partnership,10000,0.9,8720.634159809153
2024-07-01,Paid Search,50000,0.9,45437.133422451676
2024-07-01,Paid Social,30000,0.9,27234.865673313983
2024-07-01,Content/SEO,15000,0.9,13378.611314910768
2024-07-01,Referral,5000,0.9,4732.084278149938
2024-07-01,Partnership,10000,0.9,8663.929489381586
2024-08-01,Paid Search,50000,0.9,45014.506061469234
2024-08-01,Paid Social,30000,0.9,28189.079304618135
2024-08-01,Content/SEO,15000,0.9,13442.287632044625
2024-08-01,Referral,5000,0.9,4154.983145154282
2024-08-01,Partnership,10000,0.9,9129.654716430327
2024-09-01,Paid Search,50000,1.0,49578.501451299475
2024-09-01,Paid Social,30000,1.0,29069.351196945558
2024-09-01,Content/SEO,15000,1.0,16010.833147211548
2024-09-01,Referral,5000,1.0,5397.379609658388
2024-09-01,Partnership,10000,1.0,10169.067358597167
2024-10-01,Paid Search,50000,1.2,60106.70445185435
2024-10-01,Paid Social,30000,1.2,37080.03274938089
2024-10-01,Content/SEO,15000,1.2,18522.39212272155
2024-10-01,Referral,5000,1.2,5894.6442994384215
2024-10-01,Partnership,10000,1.2,11877.167256480212
2024-11-01,Paid Search,50000,1.3,65033.2869184374
2024-11-01,Paid Social,30000,1.3,35924.58071112976
2024-11-01,Content/SEO,15000,1.3,19034.317947433694
2024-11-01,Referral,5000,1.3,6278.396160879619
2024-11-01,Partnership,10000,1.3,12373.497730905694
2024-12-01,Paid Search,50000,1.5,75252.02295862265
