month,nrr,starting_mrr,current_mrr,cohort_size,comparison_month
2023-01-01,100.49408399427904,384550,386450,54,2022-01-01
2023-02-01,90.86002120336634,16266285,14779550,1742,2022-02-01
2023-03-01,90.81749891418069,30380285,27590615,3213,2022-03-01
2023-04-01,91.08975503187088,45434890,41386530,4929,2022-04-01
2023-05-01,91.78815275101323,59853220,54938165,6500,2022-05-01
2023-06-01,92.06320252631949,74091975,68211445,8154,2022-06-01
2023-07-01,91.75115978587442,87479510,80263465,9683,2022-07-01
2023-08-01,92.06632099828661,102343755,94224130,11308,2022-08-01
2023-09-01,92.25971683028278,117401325,108314130,12915,2022-09-01
2023-10-01,92.39607310272065,131773755,121753775,14429,2022-10-01
2023-11-01,92.41321980104685,145839865,134775315,15965,2022-11-01
2023-12-01,92.45230293151108,160370705,148266410,17456,2022-12-01
2024-01-01,92.57809587070436,173928210,161019425,18930,2023-01-01
2024-02-01,92.76014772257636,186786615,173263540,20402,2023-02-01
2024-03-01,92.67939238890096,199307090,184716600,21687,2023-03-01
2024-04-01,92.83515440561783,213636495,198329770,23205,2023-04-01
2024-05-01,92.93302773163288,227426745,211354560,24660,2023-05-01
2024-06-01,92.89995275840167,241789025,224621890,26137,2023-06-01
2024-07-01,93.02253558141119,254488220,236731395,27463,2023-07-01
2024-08-01,93.28244310688895,268071120,250063290,28837,2023-08-01
2024-09-01,93.42775268647529,281372400,262879910,30209,2023-09-01
2024-10-01,93.32610115719167,295079465,275386160,31573,2023-10-01
2024-11-01,93.38469771426823,308216830,287827355,32889,2023-11-01
2024-12-01,93.55461339853754,320453780,299799295,34121,2023-12-01
