month,nrr,starting_mrr,expansion_mrr,churn_mrr,net_mrr,cohort_size
2022-02-01,100.08321414640488,384550,320,0,384870,54
2022-03-01,98.91622457125274,16266285,34670,210960,16089995,1742
2022-04-01,98.8448265050838,30380285,65925,416870,30029340,3213
2022-05-01,99.1820823160351,45434890,84600,456220,45063270,4929
2022-06-01,99.15913462968241,59853220,141905,645190,59349935,6500
2022-07-01,99.25736896607224,74091975,184155,734385,73541745,8154
2022-08-01,99.22146340325865,87479510,191710,872770,86798450,9683
2022-09-01,99.41900216578921,102343755,230765,825380,101749140,11308
2022-10-01,99.09186288996312,117401325,282245,1348410,116335160,12915
2022-11-01,99.30047527294035,131773755,310790,1232580,130851965,14429
2022-12-01,99.32523936442207,145839865,353305,1337375,144855795,15965
2023-01-01,99.1136036971341,160370705,359470,1780990,158949185,17456
2023-02-01,99.18093792835562,173928210,434100,1858680,172503630,18930
2023-03-01,99.22666835629524,186786615,447430,1891910,185342135,20402
2023-04-01,99.32993602987229,199307090,473200,1808685,197971605,21687
2023-05-01,99.3236174371799,213636495,519360,1964360,212191495,23205
2023-06-01,99.3299600713188,227426745,599620,2123470,225902895,24660
2023-07-01,99.25066284542898,241789025,664230,2476045,239977210,26137
2023-08-01,99.28861540231607,254488220,682755,2493145,252677830,27463
2023-09-01,99.24585871092717,268071120,769630,2791265,266049485,28837
2023-10-01,99.29129864905015,281372400,784495,2778585,279378310,30209
2023-11-01,99.40509245534928,295079465,850185,2605635,293324015,31573
2023-12-01,99.27402406935403,308216830,930885,3168465,305979250,32889
2024-01-01,99.26417937713201,320453780,949840,3307805,318095815,34121
2024-02-01,99.40831458444805,333799845,1022390,2997435,331824800,35470
2024-03-01,99.305781951236,346860760,1148415,3556385,344452790,36812
2024-04-01,99.41308251150704,358816195,1195220,3301175,356710240,37977
2024-05-01,99.47409958143217,372077095,1228505,3185260,370120340,39296
2024-06-01,99.43422577410018,384193005,1277195,3450860,382019340,40535
2024-07-01,99.45938246629528,397262365,1395375,3543045,395114695,41865
2024-08-01,99.43256587452275,410463505,1413720,3742830,408134395,43141
2024-09-01,99.49165046168841,423532400,1483405,3636430,421379375,44381
2024-10-01,99.27737654846187,437076875,1541895,4700315,433918455,45649
2024-11-01,99.37042203996702,448988875,1617775,4444510,446162140,46801
2024-12-01,99.43812705941912,461354305,1602690,4194915,458762080,47947
